min_time = 4; max_time = 258264; average_time = 3328; 
min_time = 4; max_time = 258264; average_time = 3321; 
min_time = 4; max_time = 258264; average_time = 3315; 
min_time = 4; max_time = 258264; average_time = 3308; 
min_time = 4; max_time = 258264; average_time = 3301; 
min_time = 4; max_time = 258264; average_time = 3295; 
min_time = 4; max_time = 258264; average_time = 3288; 
min_time = 4; max_time = 258264; average_time = 3282; 
min_time = 4; max_time = 258264; average_time = 3275; 
min_time = 4; max_time = 258264; average_time = 3269; 
min_time = 4; max_time = 258264; average_time = 3263; 
min_time = 4; max_time = 258264; average_time = 3257; 
min_time = 4; max_time = 258264; average_time = 3250; 
min_time = 4; max_time = 258264; average_time = 3251; 
min_time = 4; max_time = 258264; average_time = 3245; 
min_time = 4; max_time = 258264; average_time = 3238; 
min_time = 4; max_time = 258264; average_time = 3234; 
min_time = 4; max_time = 258264; average_time = 3228; 
min_time = 4; max_time = 258264; average_time = 3222; 
min_time = 4; max_time = 258264; average_time = 3215; 
min_time = 4; max_time = 258264; average_time = 3209; 
min_time = 4; max_time = 258264; average_time = 3203; 
min_time = 4; max_time = 258264; average_time = 3200; 
min_time = 4; max_time = 258264; average_time = 3193; 
min_time = 4; max_time = 258264; average_time = 3187; 
min_time = 4; max_time = 258264; average_time = 3181; 
min_time = 4; max_time = 258264; average_time = 3175; 
min_time = 4; max_time = 258264; average_time = 3169; 
min_time = 4; max_time = 258264; average_time = 3163; 
min_time = 4; max_time = 258264; average_time = 3157; 
min_time = 4; max_time = 258264; average_time = 3151; 
min_time = 4; max_time = 258264; average_time = 3148; 
min_time = 4; max_time = 258264; average_time = 3143; 
min_time = 4; max_time = 258264; average_time = 3137; 
min_time = 4; max_time = 258264; average_time = 3131; 
min_time = 4; max_time = 258264; average_time = 3125; 
min_time = 4; max_time = 258264; average_time = 3119; 
min_time = 4; max_time = 258264; average_time = 3113; 
min_time = 4; max_time = 258264; average_time = 3134; 
min_time = 4; max_time = 258264; average_time = 3128; 
min_time = 4; max_time = 258264; average_time = 3122; 
min_time = 4; max_time = 258264; average_time = 3117; 
min_time = 4; max_time = 258264; average_time = 3117; 
min_time = 4; max_time = 258264; average_time = 3111; 
min_time = 4; max_time = 258264; average_time = 3127; 
min_time = 4; max_time = 258264; average_time = 3124; 
min_time = 4; max_time = 258264; average_time = 3118; 
min_time = 4; max_time = 258264; average_time = 3112; 
min_time = 4; max_time = 258264; average_time = 3107; 
min_time = 4; max_time = 258264; average_time = 3101; 
min_time = 4; max_time = 258264; average_time = 3110; 
min_time = 4; max_time = 258264; average_time = 3104; 
min_time = 4; max_time = 258264; average_time = 3099; 
min_time = 4; max_time = 258264; average_time = 3093; 
min_time = 4; max_time = 258264; average_time = 3088; 
min_time = 4; max_time = 258264; average_time = 3082; 
min_time = 4; max_time = 258264; average_time = 3076; 
min_time = 4; max_time = 258264; average_time = 3071; 
min_time = 4; max_time = 258264; average_time = 3069; 
min_time = 4; max_time = 258264; average_time = 3064; 
min_time = 4; max_time = 258264; average_time = 3106; 
min_time = 4; max_time = 258264; average_time = 3100; 
min_time = 4; max_time = 258264; average_time = 3095; 
min_time = 4; max_time = 258264; average_time = 3089; 
min_time = 4; max_time = 258264; average_time = 3084; 
min_time = 4; max_time = 258264; average_time = 3078; 
